Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Anonymus,394,374865,Apahunik' (Armenia),,,Aristakes,50.1 (38),Apahunik' (Armenia): arrived from the east through the district of Apahunik' (Armenia),Anonymus 394: Apahunik' (Armenia): Specifies presence,Specifies presence,J 1033,Aristakes,,AE 482
Anonymus,394,374866,Hark' (Armenia),,,Aristakes,50.1 (38),Hark' (Armenia): arrived from the east through the district of Hark' (Armenia),Anonymus 394: Hark' (Armenia): Specifies presence,Specifies presence,J 1033,Aristakes,,AE 482
Anonymus,394,374867,Mananaghi (Armenia),,,Aristakes,50.2 (39),Mananaghi (Armenia): arrived from the east and reached Mananaghi (Armenia),Anonymus 394: Mananaghi (Armenia): Specifies presence,Specifies presence,J 1033,Aristakes,,AE 482
Anonymus,394,374868,Ekegheac' (Armenia),,,Aristakes,50.2 (39),Ekegheac' (Armenia): arrived from the east and reached Ekegheac' (Armenia),Anonymus 394: Ekegheac' (Armenia): Specifies presence,Specifies presence,J 1033,Aristakes,,AE 482
Sergios,103,374875,Shirak (Armenia),,,Aristakes,57.21-22 (46),Shirak (Armenia): proclaimed himself king of Shirak (Armenia),Sergios 103: Shirak (Armenia): Specifies presence ,Specifies presence,J 1044-45,Aristakes,,
Sergios,103,374880,Surmarhi,,,Aristakes,58.8-9 (47),Surmarhi: was persuaded to withdrew from Ani to Surmarhi,Sergios 103: Surmarhi: Specifies presence ,Specifies presence,J 1044-45,Aristakes,,
Gagik,101,374881,Surmarhi,,,Aristakes,58.8-9 (47),Surmarhi: arrested <Sergios 101> in his camp at Surmarhi,Gagik 101: Surmarhi: Specifies presence ,Specifies presence,J 1044-45,Aristakes,,
Gregorios,127,374894,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,62.12 (51),Constantinople: went to see the emperor (<Konstantinos 9>) in Constantinople,Gregorios 127: Constantinople: Specifies presence,Specifies presence,J 1045 ,Aristakes,,AE 494
Gregorios,127,374895,Bjni (Armenia),,,Aristakes,62.15 (51),Bjni (Armenia): handed to the emperor (<Konstantinos 9>) the keys of Bjni (Armenia),Gregorios 127: Bjni (Armenia): Does not specify presence ,Does not specify presence,,,,
Konstantinos,9,374896,Bjni (Armenia),,,Aristakes,62.15 (51),Bjni (Armenia): was handed by Grigor (<Gregorios 127>) the keys of Bjni (Armenia),Konstantinos 9:  Bjni (Armenia): Does not specify presence ,Does not specify presence,,,,
Gagik,101,374900,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,62.20 (52),Constantinople: was retained (by <Konstantinos 9>) in Constantinople,Gagik 101: Constantinople: Specifies presence,Specifies presence,J 1045,Aristakes,,
Gagik,101,374889,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,62.6 (50),Constantinople: went to see the emperor (<Konstantinos 9>) in Constantinople,Gagik 101: Constantinople: Specifies presence,Specifies presence,J 1045,Aristakes,,
Petros,128,374916,Xaghtoy Arhich,,,Aristakes,64.15 (57),Xaghtoy Arhich: was incarcerated in the fort of Xaghtoy Arhich,Petros 128: Xaghtoy Arhich:  Specifies presence,Specifies presence,J 1045,Aristakes,,
Xachik,101,374920,Seaw K'ar,,,Aristakes,64.16 (57),Seaw K'ar: was incarcerated in the fort of Seaw K'ar,Xachik 101: Seaw K'ar: Specifies presence,Specifies presence,J 1045,Aristakes,,
Petros,128,374917,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,64.18 (57),Constantinople: was taken to Constantinople,Petros 128: Constantinople:Specifies presence,Specifies presence,J 1045,Aristakes,,
Xachik,101,374918,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,64.18 (57),Constantinople: was taken to Constantinople,Xachik 101: Constantinople: Specifies presence,Specifies presence,J 1045,Aristakes,,
Ananias,101,374921,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,64.18 (57),Constantinople: was taken to Constantinople,Ananias 101: Constantinople: Specifies presence,Specifies presence,J 1045,Aristakes,,
Anonymus,398,374922,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,64.18 (57),Constantinople: took <Ananias 101> to Constantinople,Anonymus 398: Constantinople: Specifies presence,Specifies presence,J 1045,Aristakes,,
Atom,101,374927,Sebasteia (Cappadocia): Holy Cross,,,Aristakes,82.16 (72),Sebasteia (Cappadocia): Holy Cross: founded at great expense the monastery of the  Holy Cross,Atom 101: Sebasteia (Cappadocia): Holy Cross: Specifies presence,Specifies presence,,,,
Atom,101,374928,Sebasteia (Cappadocia): Holy Cross,,,Aristakes,82.16 (72),Sebasteia (Cappadocia): Holy Cross: provided a dwelling for <Petros 128> in the monastery of the  Holy Cross,Atom 101: Sebasteia (Cappadocia): Holy Cross: Specifies presence,Specifies presence,,,,
Petros,128,374929,Sebasteia (Cappadocia): Holy Cross,,,Aristakes,82.16 (72),Sebasteia (Cappadocia): Holy Cross: was provided by <Atom 101> witrh a dwelling in the monastery of the  Holy Cross,Petros 128: Sebasteia (Cappadocia): Holy Cross: Specifies presence,Specifies presence,,,,
Xachik,101,374930,Constantinople,https://pleiades.stoa.org/places/520998,,Aristakes,82.23-24 (73),Constantinople: was detained for 3 years and then sent away from Constantinople,Xachik 101: Constantinople: Specifies presence,Specifies presence,,,,
Xachik,101,374931,Taranta (near Tephrike),https://pleiades.stoa.org/places/629092,,Aristakes,82.25 (73),Taranta (near Tephrike): was assigned a residence and settled at Taranta (near Tephrike),Xachik 101: Taranta (near Tephrike): Specifies presence,Specifies presence,,,,
Xachik,101,374932,Taranta (near Tephrike),https://pleiades.stoa.org/places/629092,,Aristakes,83.13 (74),Taranta (near Tephrike): was granted 2 monasteries in Taranta (near Tephrike),Xachik 101: Taranta (near Tephrike): Specifies presence,Specifies presence,,,,
Konstantinos,9,374935,Taranta (near Tephrike),https://pleiades.stoa.org/places/629092,,Aristakes,83.13 (74),Taranta (near Tephrike): granted to <Xachik 101> 2 monasteries in Taranta (near Tephrike),Konstantinos 9: Taranta (near Tephrike): Specifies presence,Specifies presence,,,,
Tughrul Beg,51,374936,Artzike (lake Van),,https://www.geonames.org/315530,Aristakes,84.22 (75),Artzike (lake Van): marched past Artzike (lake Van),Tughrul Beg 51: Artzike (lake Van): Does not specify presence,Does not specify presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374940,Paryadres (Armenia),,,Aristakes,85.1 (76),Paryadres (Armenia): sent troops to raid as far as the mountain of Paryadres (Armenia),Tughrul Beg 51: Paryadres (Armenia): Does not specify presence,Does not specify presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374941,Chanetia,,,Aristakes,85.2 (76),Chanetia: sent troops to raid as far as the forests of Chanetia,Tughrul Beg 51: Chanetia: Does not specify presence,Does not specify presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374942,Sim (Armenia),,,Aristakes,85.3 (76),Sim (Armenia): sent troops to raid as far as the mountain called Sim (Armenia),Tughrul Beg 51: Sim (Armenia): Does not specify presence,Does not specify presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374944,Tuaracatap (Armenia),,,Aristakes,89.21 (81),Tuaracatap (Armenia): left Mantzikert for Tuaracatap (Armenia),Tughrul Beg 51: Tuaracatap (Armenia): Specifies presence ,Specifies presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374945,Basean (Armenia),,,Aristakes,89.21 (81),Basean (Armenia): marched through the valley of Basean (Armenia),Tughrul Beg 51: Basean (Armenia): Specifies presence ,Specifies presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374946,Avnik (Armenia),,https://www.geonames.org/322893,Aristakes,89.22 (81),Avnik (Armenia): reached the fort of Avnik (Armenia),Tughrul Beg 51: Avnik (Armenia): Specifies presence ,Specifies presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374948,Du (Basean valley),,,Aristakes,89.25 (82),Du (Basean valley): reached the village of Du (Basean valley),Tughrul Beg 51: Du (Basean valley): Specifies presence ,Specifies presence,J 1054,Aristakes,,AE 503
Tughrul Beg,51,374955,Artzike (lake Van),,https://www.geonames.org/315530,Aristakes,94.17 (87),Artzike (lake Van): was pleased by the capture of Artzike (lake Van),Tughrul Beg 51: Artzike (lake Van): Specifies presence ,Specifies presence,J 1054,Aristakes,,AE 503
Aplesphares,101,374959,Gandzak (Azerbaijan),,,Aristakes,96.10 (89),Gandzak (Azerbaijan): ruled Gandzak (Azerbaijan),Aplesphares 101: Gandzak: Specifies presence (dignity),Dignity,J 1055,Aristakes,,AE 504
Theodoros,173,374961,Taron (Armenia),,,Aristakes,96.18 (89),Taron (Armenia): was governor of Taron (Armenia),Theodoros 173: Taron (Armenia): Specifies presence (Digntiy),Dignity,J 1055,Aristakes,,AE 504
Michael,202,254183,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,27159,Constantinople: purchased from his sister-in-law <Anastaso 101> a house in Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Euphrosyne,103,254185,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,27159,Constantinople: owned a house which she sold to her nephew (<Michael 202> Attaleiates) in Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Michael,202,254186,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,27159,Constantinople: purchased from his wife's aunt <Euphrosyne 103> a house in Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Michael,202,254187,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,29192,Constantinople: owned the humble chapel of the Forerunner in Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Michael,202,254196,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,43442,"Constantinople: owned a bakery, a perfumery and rental properties in Constantinople",These should all be included in property and ownership section ,Ownership,,,,
Michael,202,254181,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,25.120-121,Constantinople: owned properties at Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Anastaso,101,254184,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: Diataxis,"27.159, 113.1562-1564",Constantinople: owned a house which she sold to her brother-in-law (<Michael 202> Attaleiates) in Constantinople,These should all be included in property and ownership section ,Ownership,,,,
Romanos,4,234560,Aleppo,https://pleiades.stoa.org/places/658409,,Attaleiates: History,108.9 / 82.9,Aleppo: encamped with his entire army before Aleppo,Romanos 4: Aleppo: Specifies presence ,Specifies presence,J 1068,Attaleiates,,
Mahmud,101,234567,Aleppo,https://pleiades.stoa.org/places/658409,,Attaleiates: History,111.7 / 84.12,Aleppo: was amir of Aleppo,Mahmud 101: Aleppo: Specifies presence (dignity),Dignity,J 1068,Attaleiates,,
Romanos,4,234586,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,122.10 / 92.18,Constantinople: left Cilicia with part of his army and reached Constantinople,Romanos 4: Constantinople: Specifies presence ,Specifies presence,J 1068,Attaleiates,,
Romanos,4,234612,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,138.14 / 104.3-4,Constantinople: decided to leave Klaudioupolis and return to Constantinople,Romanos 4: Constantinople: Specfies presence ,Specifies presence,J 1069,Attaleiates,,
Chrysoskoulos,101,234618,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,141.23-142.1 / 106.12-13,Constantinople: went to the emperor wishing to become his servant at Constantinople,Chrysoskoulos 101: Constantinople: Specfies presence ,Specifies presence,J 1070,Attaleiates,,
Manuel,61,234619,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,141.23-142.1 / 106.12-13,Constantinople: returned together with his captor <Chrysoskoulos 101> to Constantinople,Manuel 61: Constantinople: Specfies presence ,Specifies presence,J 1070,Attaleiates,,
Paulos,101,234664,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,168.12 / 125.1,Constantinople: left Theodosioupolis during the night and reached Constantinople,Paulos 101: Constantinople: Specfies presence ,Specifies presence,J 1071-2 TIQ,Attaleiates,,
Andronikos,61,234675,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,168.16 / 125.5,Constantinople: deserted the army (at Mantzikert) and reached Constantinople,Andronikos 61: Constantinople: Specfies presence ,Specifies presence,J 1071-2 TIQ,Attaleiates,,
Konstantinos,61,234681,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,170.1 / 126.5,Constantinople: was sent at the head of an army against <Romanos 4> and left hastily Constantinople,Konstantinos 61: Constantinople: Specfies presence ,Specifies presence,J 1071-2 TIQ,Attaleiates,,
Robert,101,234688,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,170.20-21 / 126.20-21,Constantinople: was sent by <Michael 7> with troops to Constantinople,Robert 101: Constantinople: Specfies presence ,Specifies presence,J 1071-2 TIQ,Attaleiates,,
Konstantinos,61,234693,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,172.20 / 128.3,Constantinople: after driving away the troops of <Romanos 4> returned to Constantinople,Konstantinos 61: Constantinople: Specfies presence ,Specifies presence,J 1071-2 TIQ,Attaleiates,,
Theophilos,101,234705,Koloneia (?),,,Attaleiates: History,178.2 / 131.17,Koloneia (?): was bishop of Koloneia (?),Theophilos 101: Koloneia (?): Does not specify presence ,Does not specify presence,J 1072,Attaleiates,,
Konstantinos,9,234440,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,18.6 / 15.3,Constantinople: was born and raised in Constantinople,Konstantinos 9: Constantinople: Specifies presence (Though this is more of a historical presence) ,Specifies presence,,,,
Roussel,61,234734,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,186.15 / 138.2,Constantinople: after his victory over the kaisar (<Ioannes 62>) marched against Constantinople,Roussel 61: Constantinople:  Does not specify presence ,Does not specify presence,,,,
Roussel,61,234736,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,187.12-13 / 138.19,Constantinople: rejected the offer of <Michael 7> and advanced even more hastily against Constantinople,Roussel 61: Constantinople: Does not specify presence ,Does not specify presence,,,,
Basileios,102,234737,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,187.12-14 / 138.20,Constantinople: was taken by <Roussel 61> on his campaign against Constantinople,Basileios 103: Constantinople: Does not specofy presence ,Does not specify presence,,,,
Roussel,61,234738,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,188.13 / 139.12,Constantinople: reached with his mighty army the strait opposite Constantinople,Roussel 61: Constantinople: Specfies presence near,Specifies presence near,,,,
Alexios,1,234760,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,206.20 / 152.2,Constantinople: sailed with his prisoner (<Roussel 61>) across the Black Sea to Constantinople,Alexios 1: Constantinople: Specifies presence,Specifies presence,,,,
Roussel,61,234761,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,206.20 / 152.2,Constantinople: was taken by <Alexios 1> in chains across the Black Sea to Constantinople,Roussel 61: Constantinople:Specifies presence ,Specifies presence,,,,
Nestor,101,234764,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,208.3 / 152.26,Constantinople: marched through Thrace with a large army and encamped near Constantinople,Nestor 101: Constantinople: Specfiies presence near,Specifies presence near,,,,
Anonymi,108,234767,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,211.7 / 155.1,Constantinople: were struck by lightning near the western wall of Constantinople,Anonymous 108: Constantinople. Specfiies presence ,Specifies presence,,,,
Leon,61,234447,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,22.18 / 18.12-13,Constantinople: was removed from office but allowed to move freely in Constantinople,Leon 61: Constantinople: Specifies presence ,Specifies presence,J 1047,Attaleiates,,
Leon,61,234448,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,22.24 / 18.16,Constantinople: left secretly Constantinople,Leon 61: Constantinople: Specifies presence ,Specifies presence,"J 1047, 14th September ",Attaleiates,,
Konstantinos,9,234452,Constantinople: Blachernai,,,Attaleiates: History,23.23-24.1 / 19.12,Constantinople: Blachernai: watched the rebel troops pillaging the countryside from the acropolis at  Blachernai,"Konstantinos 9: Constantinople, Blachernai: specifies  presence ",Specifies presence,J 1047,Attaleiates,,
Leon,61,234450,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,23.8-9 / 18.23,Constantinople: was proclaimed emperor by his troops and marched against Constantinople,Leon 61: Constantinople: Does not specify presence (But specifies presence in Adrianople),Does not specify presence,J 1047,Attaleiates,,
Konstantinos,9,234451,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,23.9-10 / 19.1,Constantinople: sent his troops to face those of the rebel <Leon 61> outside Constantinople,Constantinos 9: Constantinople: Does not specify presence ,Does not specify presence,,,,
Michael,202,234779,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,246.1 / 177.25,Constantinople: arrived quickly from Rhaidestos to Constantinople,Michael 202: Constantiniople: Specifies presence ,Specifies presence,,,,
Alexios,1,234793,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,250.22 / 181.7,Constantinople: retreated hastily from Selymbria to Constantinople,Alexios 1: Constantinople: Specifies presence,Specifies presence,,,,
Ioannes,61,234789,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,250.6 / 180.22,Constantinople: was sent by his brother with a large force against Constantinople,Ioannes 61: Constantinople: Does not specify presence ,Does not specify presence,,,,
Nikephoros,62,234790,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,250.6 / 180.22,Constantinople: sent his brother <Ioannes 61> with a large force against Constantinople,Nikephoros 62: Constantinople:Does not specify presence ,Does not specify presence,,,,
Ioannes,61,234794,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,251.18 / 181.22,Constantinople: attacked with his troops but failed to enter Constantinople,Ioannes 61: Constantinople: Specifies presence near,Specifies presence near,,,,
Roussel,61,234801,Constantinople: Blachernai,,,Attaleiates: History,253.20 / 183.5,Constantinople: Blachernai: took terrible oaths before the emperor in the shrine at  Blachernai,Roussel 61: Constantinople Blachernai: Specifies presence,Specifies presence,,,,
Michael,7,234803,Constantinople: Blachernai,,,Attaleiates: History,253.20 / 183.5,Constantinople: Blachernai: met up with <Roussel 61> who gave him an oath of loyalty in the shrine at  Blachernai,Michael 7: Constantinople Blachernai: Specifies presence,Specifies presence,,,,
Roussel,61,234802,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,253.21 / 183.6,Constantinople: was put at the head of the troops sent against <Ioannes 61> and left Constantinople,Roussel 61: Constantinople:Specifies presence ,Specifies presence,,,,
Michael,7,234805,Constantinople: Blachernai,,,Attaleiates: History,256.11 / 184.26,Constantinople: Blachernai: deliberated with the senate at the palace of  Blachernai,"Michael 7: Constantinople, Balchernai: Specfies presence",Specifies presence,,,,
Michael,202,234804,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,256.3 / 184.19,Constantinople: participated in many court cases both while on campaign and at Constantinople,Michael 202: Constantinople: Specifies presence ,Specifies presence,J 1078,Attaleiates,,
Nikephoros,3,234814,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,261.17 / 188.5,"Constantinople: was welcomed with great splendour, acclamations and festivals in Constantinople",Nikephoros 3: Constantinople: Specifies presence ,Specifies presence,J 1078,Attaleiates,,
Nikephoros,3,234817,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,263.14 / 189.12,Constantinople: took the road from his home town (Lampe) to Constantinople,Nikephoros 3: Constantinople: Does not specify presence ,Does not specify presence,,,,
Leon,61,234453,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,27.14 / 22.5,Constantinople: appeared with his forces hoping he would be welcomed into Constantinople,Leon 61: Constantinople: Specifies presence near,Specifies presence near,J 1047,Attaleiates,,
Michael,7,234831,Constantinople: Blachernai,,,Attaleiates: History,270.20-21 / 194.4,Constantinople: Blachernai: was deposed and fled to the palace at  Blachernai,"Michael 7: Constantinople, Bachernai: Specifies presence ",Specifies presence,J 1078,Attaleiates,,
Aimilianos,61,234829,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,270.7 / 193.21,Constantinople: was staying at Constantinople,Aimilianos 61: Constantinople: Specifies presence ,Specifies presence,J 1078,Attaleiates,,
Michael,7,234833,Constantinople: Blachernai,,,Attaleiates: History,271.12 / 194.16,Constantinople: Blachernai: was tonsured in the church of  Blachernai,"Michael 7: Constantinople, Blachernai: Specifies presence ",Specifies presence,J 1078,Attaleiates,,
Nikephoros,3,234839,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,273.4 / 196.4,Constantinople: embarked from Prainetos on the imperial ship for Constantinople,Nikephoros 3: Constantinople: Specifies presence ,Specifies presence,,,,
Kosmas,11,234862,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,303.10-11 / 217.3,Constantinople: was patriarch of Constantinople,Kosmas 11: Constantinople: Specifies presence (Dignity),Dignity,,,,
Eudokia,1,234863,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,304.6-10 / 217.16-19,Constantinople: was banished by her son but was then allowed by <Nikephoros 3> into Constantinople,Eudokia 1: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymae,5000,234864,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,304.9-10 / 217.19,Constantinople: were allowed by Botaneiates (<Nikephoros 3>) together with their mother back into Constantinople,Anonymus 5000: Constantinople: Specifies presence ,Specifies presence,,,,
Andronikos,62,234865,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,304.9-10 / 217.19,Constantinople: was allowed by Botaneiates (<Nikephoros 3>) together with his mother back into Constantinople,Andronikos 61: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantios,61,234866,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,304.9-10 / 217.19,Constantinople: was allowed by Botaneiates (<Nikephoros 3>) together with his mother back into Constantinople,Konstantios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantios,61,234867,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,305.2 / 218.3,Constantinople: was banished by his brother (<Michael 7>) from the palace and Constantinople,Konstantios 61: Constantinople: Does not specify presence ,Does not specify presence,,,,
Anonymus,5085,234873,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,307.23 / 219.28,Constantinople: was not at Chrysopolis when clashes erupted among the troops there but was away at Constantinople,Anonymus 5085: Constantinople:Specifies presence ,Specifies presence,,,,
Isaakios,1,234477,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,56.7 / 42.20,Constantinople: after his victory over the imperial troops left for Constantinople,Isaakios 1: Constantinople: Specifies presence  ,Specifies presence,J 1056-57 TIQ,Attaleiates,,
Michael,11,234485,Constantinople: Blachernai,,,Attaleiates: History,63.15 / 48.26,Constantinople: Blachernai: was seized by armed soldiers and taken to the shore at  Blachernai,"Michael 11: Constantinople, Blachernai: Specifies presence",Specifies presence,,,,
Michael,11,234484,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,63.6 / 48.19,Constantinople: founded a monastery outside the city walls to the west of Constantinople,"Michael 11: Constantinople, outside city walls: Specfiies presence",Specifies presence,J 1058,Attaleiates,,
Michael,11,234486,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,66.4 / 50.20,Constantinople: was brought after his death with great honour back to Constantinople,Michael 11: Constantinople: Specifies presence  ,Specifies presence,,,,
Isaakios,1,234490,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,68.19 / 52.16,Constantinople: heard of the false rumour of rebellion and hurried back to Constantinople,Isaakios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,103,234501,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,74.16 / 56.25,Constantinople: was eparch of Constantinople,Anonymus 103: Constantinople: specifies presence (Dignity),Dignity,,,,
Konstantinos,10,234513,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,85.3 / 64.8,Constantinople: decided to campaign against the Uzes and left Constantinople,Konstantinos 10: Constantinople: specifies presence ,Specifies presence,,,,
Konstantinos,10,234516,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,86.8 / 65.5,Constantinople: learnt of the destruction of the Uzes and returned to Constantinople,Konstantinos 10: Constantinople: specifies presence ,Specifies presence,,,,
Michael,4,234422,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,9.22 / 7.21,Constantinople: returned in order to prepare for war from Thessalonike to Constantinople,Michael 4: Constantinople: Specifies presence ,Specifies presence,J 1067-68 TIQ,Attaleiates,,
Amertikes,101,234525,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,94.23 / 71.24,Constantinople: was received with great honours by the emperor and remained at Constantinople,Amertikes 101: Constantinople: Specifies presence ,Specifies presence,J 1067-68 TIQ,Attaleiates,,
Amertikes,101,234523,Aleppo,https://pleiades.stoa.org/places/658409,,Attaleiates: History,95.4 / 72.3,Aleppo: defected from the Romans and went to Aleppo,Amertikes 101: Aleppo: Specifies presence ,Specifies presence,J 1067-68 TIQ,Attaleiates,,
Mahmud,101,234526,Aleppo,https://pleiades.stoa.org/places/658409,,Attaleiates: History,95.4 / 72.3,Aleppo: was the ruler of Aleppo,Mahmud 101: Aleppo: Specifies presence (Dignity),Dignity,,,,
Anonymus,104,234530,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,98.11-12 / 74.13,Constantinople: captured <Romanos 4> Diogenes and carried him in chains to Constantinople,Anonymus 104: Constantinople: Specifies presence ,Specifies presence,,,,
Romanos,4,234531,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,98.11-12 / 74.13,Constantinople: was captured by <Anonymus 104> and carried in chains to Constantinople,Romanos 4: Constantinople: Specifies presence ,Specifies presence,J 1067-68 TIQ,Attaleiates,,
Romanos,4,234536,Constantinople,https://pleiades.stoa.org/places/520998,,Attaleiates: History,99.22 / 75.13,Constantinople: was summoned back from Cappadocia to Constantinople,Romanos 4: Constantinople: Specifies presence ,Specifies presence,J 1067-68 TIQ,Attaleiates,,
Ioannes,2,437101,Tigris (river),,,"Basilakios, Orationes et epistulae",24.34,Tigris (river): with the help of his ecclesiastical establishment had influence beyond the Tigris,Ioannes 2: Tigris river: Does not specify presence ,Does not specify presence,,,,
Nikolaos,14,437180,Constantinople,https://pleiades.stoa.org/places/520998,,"Basilakios, Orationes et epistulae","75, tit",Constantinople: was patriarch of Constantinople,Nikolaos 14: Constantinople: Specifies presence (Dignity),Dignity,,,,
Konstantinos,13,226473,Constantinople,https://pleiades.stoa.org/places/520998,,Boilas,39,Constantinople: served as patriarch of Constantinople,Konstantinos 13: Constantinople: Specifies presence ,Specifies presence,,,,
Anna,61,236754,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,103.15,Constantinople: learnt of her son (<Manuel 61>)'s illness while residing at Constantinople,Anna 61: Constantinople: Specifies presence ,Specifies presence,,,,
Manuel,61,236748,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,103.4,Constantinople: having convinced <Chrysoskoulos 101> to side with the Roman emperor he returned with him to Constantinople,Manuel 61: Constantinople: Specfies presence ,Specifies presence,,,,
Chrysoskoulos,101,236749,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,103.4,Constantinople: returned with <Manuel 61> to Constantinople,Chrysoskoulos 101: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymi,5025,236778,Constantinople,https://pleiades.stoa.org/places/520998,,Bryennios,119.9,Constantinople: brought news of the disaster in the war with the Turks to Constantinople,Anonymi 5205: Constantinople: Specifies presence ,Specifies presence,,,,
