Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Michael,11,417332,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Ioannes,18,417415,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Loukas,11,417416,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Nikolaos,20123,417426,Andida,https://pleiades.stoa.org/places/40039,,Seals,,Andida: was bishop of Andida,Dignity,Dignity,,,,
Bardas,20105,417427,Aleppo,https://pleiades.stoa.org/places/658409,,Seals,,Berroia: was tourmarches of Berroia,Dignity,Dignity,,,,
Eustathios,11,417433,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Konstantinos,13,417434,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Konstantinos,13,417435,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Kosmas,11,417436,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Nikolaos,13,417437,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Ioannes,19,417438,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Nikolaos,14,417442,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Leon,20148,417516,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was eparchos of Constantinople,Dignity,Dignity,,,,
Michael,20199,417555,Beroe (Thrace),,,Seals,,Beroe: was tourmarches of (?) Beroe,Dignity,Dignity,,,,
